benchmark,factor,model,f0_original,f0_replicate,abs_drift_pp,signed_drift_pp,edge_flip_rate,n_orig_responses,n_rep_responses,n_edges_compared,n_edges_flipped,orig_path,rep_path
bbq,age_neg,deepseek-v3-2-non-reasoning,0.536,0.532258064516129,0.37419354838710284,-0.37419354838710284,0.03571428571428571,250,248,84,3,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_neg/deepseek-v3-2-non-reasoning/emotional/20260417_101548_base/preference_graph_deepseek-v3-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_neg/deepseek-v3-2-non-reasoning/base/20260501_130627_base/preference_graph_deepseek-v3-2-non-reasoning.json
bbq,age_neg,gpt-5-2-non-reasoning,0.5121951219512195,0.5178571428571429,0.5662020905923382,0.5662020905923382,0.011494252873563218,246,224,87,1,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_neg/gpt-5-2-non-reasoning/emotional/20260417_102904_base/preference_graph_gpt-5-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_neg/gpt-5-2-non-reasoning/base/20260501_130604_base/preference_graph_gpt-5-2-non-reasoning.json
bbq,age_neg,grok-41-fast-non-reasoning,0.508,0.48,2.8000000000000025,-2.8000000000000025,0.0,250,250,83,0,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_neg/grok-41-fast-non-reasoning/emotional/20260417_100224_base/preference_graph_grok-41-fast-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_neg/grok-41-fast-non-reasoning/base/20260501_130604_base/preference_graph_grok-41-fast-non-reasoning.json
bbq,age_neg,llama-33-70b,0.5384615384615384,0.5458515283842795,0.7389989922741091,0.7389989922741091,0.0,234,229,111,0,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_neg/llama-33-70b/emotional/20260417_100644_base/preference_graph_llama-33-70b.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_neg/llama-33-70b/base/20260501_130603_base/preference_graph_llama-33-70b.json
bbq,age_neg,qwen3-235b-a22b-2507,0.5210084033613446,0.5255102040816326,0.45018007202880517,0.45018007202880517,0.012195121951219513,238,196,82,1,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_neg/qwen3-235b-a22b-2507/emotional/20260417_104235_base/preference_graph_qwen3-235b-a22b-2507.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_neg/qwen3-235b-a22b-2507/base/20260501_130734_base/preference_graph_qwen3-235b-a22b-2507.json
bbq,age_pos,deepseek-v3-2-non-reasoning,0.476,0.4879032258064516,1.1903225806451645,1.1903225806451645,0.0847457627118644,250,248,59,5,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_pos/deepseek-v3-2-non-reasoning/emotional/20260417_101818_base/preference_graph_deepseek-v3-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_pos/deepseek-v3-2-non-reasoning/base/20260501_130700_base/preference_graph_deepseek-v3-2-non-reasoning.json
bbq,age_pos,gpt-5-2-non-reasoning,0.49387755102040815,0.5254237288135594,3.1546177793151218,3.1546177793151218,0.034482758620689655,245,236,87,3,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_pos/gpt-5-2-non-reasoning/emotional/20260417_103150_base/preference_graph_gpt-5-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_pos/gpt-5-2-non-reasoning/base/20260501_130620_base/preference_graph_gpt-5-2-non-reasoning.json
bbq,age_pos,grok-41-fast-non-reasoning,0.484,0.5,1.6000000000000014,1.6000000000000014,0.0,250,250,72,0,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_pos/grok-41-fast-non-reasoning/emotional/20260417_100312_base/preference_graph_grok-41-fast-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_pos/grok-41-fast-non-reasoning/base/20260501_130614_base/preference_graph_grok-41-fast-non-reasoning.json
bbq,age_pos,llama-33-70b,0.46502057613168724,0.46835443037974683,0.3333854248059598,0.3333854248059598,0.018518518518518517,243,237,108,2,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_pos/llama-33-70b/emotional/20260417_100758_base/preference_graph_llama-33-70b.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_pos/llama-33-70b/base/20260501_130611_base/preference_graph_llama-33-70b.json
bbq,age_pos,qwen3-235b-a22b-2507,0.5,0.5110132158590308,1.1013215859030812,1.1013215859030812,0.014492753623188406,250,227,69,1,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_age_pos/qwen3-235b-a22b-2507/emotional/20260417_104540_base/preference_graph_qwen3-235b-a22b-2507.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_age_pos/qwen3-235b-a22b-2507/base/20260501_130838_base/preference_graph_qwen3-235b-a22b-2507.json
bbq,ses_neg,deepseek-v3-2-non-reasoning,0.576,0.5510204081632653,2.4979591836734705,-2.4979591836734705,0.04477611940298507,250,245,67,3,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_ses_neg/deepseek-v3-2-non-reasoning/emotional/20260417_111156_base/preference_graph_deepseek-v3-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_ses_neg/deepseek-v3-2-non-reasoning/base/20260501_130731_base/preference_graph_deepseek-v3-2-non-reasoning.json
bbq,ses_neg,gpt-5-2-non-reasoning,0.5633187772925764,0.5647668393782384,0.14480620856619497,0.14480620856619497,0.13636363636363635,229,193,44,6,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_ses_neg/gpt-5-2-non-reasoning/emotional/20260417_112529_base/preference_graph_gpt-5-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_ses_neg/gpt-5-2-non-reasoning/base/20260501_130650_base/preference_graph_gpt-5-2-non-reasoning.json
bbq,ses_neg,grok-41-fast-non-reasoning,0.512,0.5301204819277109,1.8120481927710874,1.8120481927710874,0.0,250,249,31,0,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_ses_neg/grok-41-fast-non-reasoning/emotional/20260417_105618_base/preference_graph_grok-41-fast-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_ses_neg/grok-41-fast-non-reasoning/base/20260501_130624_base/preference_graph_grok-41-fast-non-reasoning.json
bbq,ses_neg,llama-33-70b,0.5760869565217391,0.5688622754491018,0.7224681072637296,-0.7224681072637296,0.04819277108433735,184,167,83,4,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_ses_neg/llama-33-70b/emotional/20260417_110226_base/preference_graph_llama-33-70b.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_ses_neg/llama-33-70b/base/20260501_130620_base/preference_graph_llama-33-70b.json
bbq,ses_neg,qwen3-235b-a22b-2507,0.5560747663551402,0.5725806451612904,1.6505878806150176,1.6505878806150176,0.1111111111111111,214,124,63,7,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_ses_neg/qwen3-235b-a22b-2507/emotional/20260417_114545_base/preference_graph_qwen3-235b-a22b-2507.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_ses_neg/qwen3-235b-a22b-2507/base/20260501_130945_base/preference_graph_qwen3-235b-a22b-2507.json
bbq,ses_pos,deepseek-v3-2-non-reasoning,0.504,0.45161290322580644,5.238709677419356,-5.238709677419356,0.125,250,248,72,9,/Users/alexmckenzie/code/values/moral-steerability-paper/google_drive/results_bbq_v2/simple_ses_pos/deepseek-v3-2-non-reasoning/emotional/20260417_111258_base/preference_graph_deepseek-v3-2-non-reasoning.json,experiments/2026-05-01-baseline-noise/results_bbq_baseline_replicate/simple_ses_pos/deepseek-v3-2-non-reasoning/base/20260501_130756_base/preference_graph_deepseek-v3-2-non-reasoning.json
